call_id,caller_name,phone_number,date_time,topic,summary,handled_by
1001,张*伟,13800138000,2024/3/1 9:15,问题解答->个人所得税->年度汇算清缴,咨询2023年度个人所得税汇算清缴流程及所需材料,EMP20240301
1002,李*芳,13912345678,2024/3/1 9:30,政策咨询->增值税->小规模纳税人,询问小规模纳税人季度销售额未达起征点是否需要申报,EMP20240302
1003,王*刚,13688889999,2024/3/1 9:45,开票业务->发票开具->蓝字发票开具流程,反映开具电子普通发票时系统提示“开票失败”，请求协助排查,EMP20240303
1004,赵*丽,13511112222,2024/3/1 10:00,政策咨询->企业所得税->研发费用加计扣除,咨询企业研发费用加计扣除政策适用范围和申报方式,EMP20240304
1005,陈*强,13766667777,2024/3/1 10:15,申报业务->税务登记->个体工商户设立登记,新办个体工商户如何办理税务登记及所需资料清单,EMP20240305
1006,刘*明,13812345678,2024/3/1 10:30,社保业务->单位社保->缴费基数调整,单位员工人数变化后社保缴费基数如何调整,EMP20240306
1007,周*红,13988889999,2024/3/1 10:45,出口退税->退税申请->跨境服务免税备案,外贸企业出口货物报关单信息如何在电子税务局录入,EMP20240307
1008,吴*杰,13611112222,2024/3/1 11:00,政策咨询->企业所得税->小微企业优惠政策,高新技术企业享受15%税率的具体申请流程,EMP20240308
1009,徐*敏,13566667777,2024/3/1 11:15,执法业务->稽查管理->稽查结果异议处理,对最近收到的税务行政处罚决定书有疑问,EMP20240309
1010,孙*磊,13722223333,2024/3/1 11:30,其他问题->非居民税收->代扣代缴,关于非居民企业代扣代缴预提所得税的相关规定,EMP20240310
1011,张*芳,13877778888,2024/3/1 11:45,问题解答->个人所得税->专项附加扣除填报修改,专项附加扣除填报错误如何修改,EMP20240311
1012,李*强,13933334444,2024/3/1 13:00,政策咨询->增值税->进项税额抵扣,一般纳税人进项税额抵扣时间要求,EMP20240312
1013,王*丽,13699990000,2024/3/1 13:15,开票业务->发票开具->电子专用发票打印问题,电子专用发票打印模糊如何处理,EMP20240313
1014,赵*刚,13555556666,2024/3/1 13:30,政策咨询->企业所得税->小微企业减免政策,小微企业利润不超过300万的所得税优惠政策解读,EMP20240314
1015,陈*伟,13777778888,2024/3/1 13:45,申报业务->税务登记->地址变更登记,公司地址变更后税务登记信息如何更新,EMP20240315
1016,刘*芳,13844445555,2024/3/1 14:00,社保业务->灵活就业->社保缴费比例,灵活就业人员社保缴费比例及基数查询,EMP20240316
1017,周*刚,13922223333,2024/3/1 14:15,出口退税->退税申请->出口退（免）税备案变更,出口退（免）税备案变更操作流程,EMP20240317
1018,吴*丽,13677778888,2024/3/1 14:30,政策咨询->企业所得税->科技型中小企业加计扣除,科技型中小企业研发费用加计扣除比例是多少,EMP20240318
1019,徐*强,13588889999,2024/3/1 14:45,执法业务->稽查管理->稽查整改建议,税务稽查中发现的问题如何整改并避免再次发生,EMP20240319
1020,孙*敏,13733334444,2024/3/1 15:00,其他问题->外籍人员税收->收入申报,外籍人员在中国境内收入是否需申报个税,EMP20240320
1021,张*刚,13899990000,2024/3/1 15:15,问题解答->个人所得税->全年一次性奖金政策,全年一次性奖金单独计税政策延续到什么时候,EMP20240321
1022,李*丽,13955556666,2024/3/1 15:30,政策咨询->增值税->农产品收购抵扣,农产品收购发票抵扣政策有哪些变化,EMP20240322
1023,王*伟,13611113333,2024/3/1 15:45,开票业务->发票查验->查验次数限制,发票查验次数超过限制怎么办,EMP20240323
1024,赵*芳,13522224444,2024/3/1 16:00,政策咨询->企业所得税->企业合并分立税务处理,企业合并分立过程中涉及的所得税处理方法,EMP20240324
1025,陈*刚,13744445555,2024/3/1 16:15,申报业务->税务登记->注销税务登记,公司注销前是否必须完成所有纳税申报,EMP20240325
1026,刘*敏,13866667777,2024/3/1 16:30,社保业务->单位社保->缴费记录导出,单位社保缴费记录如何导出并打印,EMP20240326
1027,周*强,13988887777,2024/3/1 16:45,出口退税->退税申请->退运补税证明开具,出口货物退运已补税证明如何开具,EMP20240327
1028,吴*伟,13633334444,2024/3/1 17:00,政策咨询->非税收入->残疾人保障金减免,残疾人就业保障金减免政策适用条件是什么,EMP20240328
1029,徐*芳,13599990000,2024/3/1 17:15,执法业务->稽查管理->税务事项通知书应对,收到税务事项通知书后应如何应对,EMP20240329
1030,孙*丽,13711112222,2024/3/1 17:30,其他问题->境外所得->已缴税款抵免,境外所得已在国外缴税，回国是否可以抵免,EMP20240330
1031,张*强,13822223333,2024/3/2 9:00,问题解答->个人所得税->子女教育专项扣除,子女教育专项附加扣除的标准是多少,EMP20240331
1032,李*敏,13944445555,2024/3/2 9:15,政策咨询->增值税->二手车销售增值税,二手车销售业务是否需要缴纳增值税,EMP20240332
1033,王*芳,13655556666,2024/3/2 9:30,开票业务->发票开具->红字发票开具流程,红字发票开具流程及注意事项,EMP20240333
1034,赵*伟,13577778888,2024/3/2 9:45,政策咨询->企业所得税->资产损失扣除申报,企业资产损失税前扣除如何申报,EMP20240334
1035,陈*丽,13788889999,2024/3/2 10:00,申报业务->税务登记->分公司设立登记,分公司设立是否需要单独办理税务登记,EMP20240335
1036,刘*刚,13833334444,2024/3/2 10:15,社保业务->单位社保->滞纳金计算规则,单位社保费滞纳金计算规则是怎样的,EMP20240336
1037,周*芳,13966667777,2024/3/2 10:30,出口退税->退税申请->跨境服务免税备案流程,跨境服务免税备案流程是怎样的,EMP20240337
1038,吴*敏,13622223333,2024/3/2 10:45,政策咨询->非税收入->六税两费减免政策,小微企业六税两费减半政策适用对象有哪些,EMP20240338
1039,徐*强,13544445555,2024/3/2 11:00,执法业务->稽查管理->稽查结果申诉,对企业税务稽查结果不服如何申诉,EMP20240339
1040,孙*刚,13755556666,2024/3/2 11:15,其他问题->财产与行为税->出租房屋税费,自然人出租房屋应缴纳哪些税费,EMP20240340
1041,张*丽,13899991111,2024/3/2 11:30,问题解答->个人所得税->年终奖合并计税政策,年终奖合并计税政策从哪一年开始实施,EMP20240341
1042,李*伟,13911113333,2024/3/2 11:45,政策咨询->增值税->建筑服务异地项目,建筑服务异地项目是否需要预缴增值税,EMP20240342
